None
USDTUSD
time,price,volume,buy_or_sell,market_or_limit,misc
1525687183.225,0.99800000,34.04211000,b,l,
1525685185.0671,0.99790000,30.11141000,b,l,
1525686574.5228,0.99820000,34.03828000,b,l,
1525667199.9201,0.99700000,33.04100000,b,l,
1525691068.03,0.99780000,5226.69605834,b,l,
1525698713.8448,0.99770000,33.10190000,b,l,
1525654424.1807,0.99470000,30.16531000,b,l,
1525698690.9214,0.99680000,34.09182000,s,l,
1525666437.8601,0.99720000,33.99463000,s,l,
1525654427.3937,0.99500000,30.18078000,s,l,
1525685567.9924,0.99790000,34.09143000,s,l,
1525684922.5414,0.99590000,30.12260000,s,l,
1525685568.0037,0.99790000,34.08987000,s,l,
1525719403.8317,0.99920000,34.03103000,s,m,
1525687203.0749,0.99710000,125.00000000,s,l,
1525687205.5165,0.99700000,64.97854363,s,l,
1525659289.8587,0.99710000,39.85200000,b,l,
1525654442.3568,0.99530000,3.98103324,b,l,
1525705813.2552,0.99930000,34.02791000,b,l,
1525667200.1872,0.99710000,33.03906000,b,l,
1525703604.4095,0.99910000,81.08817079,b,l,
1525679030.4576,0.99760000,6.06855056,b,l,
1525679032.1919,0.99760000,0.00270527,b,l,
1525679033.831,0.99790000,2.61542837,b,l,
1525679035.7282,0.99800000,0.00010185,b,l,
1525744393.8552,0.99990000,34.05790000,b,l,
1525686574.5495,0.99820000,34.03828000,b,l,
1525715520.5005,0.99950000,34.03241000,s,l,
1525654464.9568,0.99590000,30.15045000,b,l,
1525705813.3128,0.99930000,34.02946000,b,l,
1525727672.0262,0.99990000,34.04260000,b,l,
1525721451.7827,1.00000000,1457.70173287,b,l,
1525695659.4794,0.99760000,0.00035350,s,m,
1525740777.2289,0.99960000,34.05743000,b,l,
1525654472.6037,0.99500000,77.27703775,s,l,
1525685185.0297,0.99790000,30.11141000,b,l,
1525728577.284,0.99940000,34.04795000,s,m,
1525664983.6367,0.99750000,30.18018000,b,l,
1525679056.0888,0.99790000,26.35086457,s,l,
1525658157.0355,0.99520000,30.68632000,s,l,
1525690365.3697,0.99790000,34.05376000,b,l,
1525657764.575,0.99700000,35.19486253,b,l,
1525680569.9303,0.99780000,33.99179000,b,l,
1525705813.3213,0.99930000,34.02965000,b,l,
1525669585.1716,0.99620000,30.18443000,b,m,
1525733361.8616,0.99960000,34.04614000,s,l,
1525656076.5608,0.99550000,30.64278000,b,l,
1525752810.5385,0.99760000,30.07127000,s,l,
1525752811.4669,0.99800000,14.85746000,s,l,
1525744393.8672,0.99990000,34.05743000,b,l,
1525667202.7544,0.99710000,33.02966000,b,l,
1525716477.9108,0.99950000,0.93081883,s,l,
1525708225.174,0.99910000,34.03602000,s,l,
1525725363.0989,0.99990000,34.02725000,b,m,
1525725363.1418,0.99990000,34.02725000,b,m,
1525654532.3149,0.99530000,30.62563000,s,l,
1525687125.5357,0.99800000,34.04295000,b,l,
1525680569.9223,0.99780000,33.99179000,b,l,
1525658156.8431,0.99670000,30.75226000,s,l,
1525654532.328,0.99470000,30.16076000,s,l,
1525743670.0982,0.99970000,75.00000000,s,m,
1525657773.8998,0.99710000,1000.00000000,b,l,
1525747489.2554,0.99730000,30.11081000,b,l,
1525654689.9069,0.99430000,30.31559000,b,l,
1525669585.1687,0.99620000,30.18443000,b,m,
1525687322.3305,0.99800000,34.04164000,b,l,
1525705562.791,0.99910000,34.03084000,b,l,
1525654561.4304,0.99540000,30.62267000,s,l,
1525654563.3562,0.99540000,30.62267000,s,l,
1525654567.9928,0.99540000,13.75466000,s,l,
1525708225.1783,0.99910000,34.03602000,s,l,
1525682417.9702,0.99680000,33.99141000,s,l,
1525699127.2247,0.99770000,33.10017000,b,l,
1525659145.1384,0.99710000,0.00088000,b,l,
1525685568.0389,0.99790000,34.08987000,s,l,
1525695551.1753,0.99950000,604.99960000,b,m,
1525679168.237,0.99810000,2994.71195271,b,m,
1525685568.1338,0.99790000,34.08980000,s,l,
1525659147.0502,0.99710000,45.71000000,b,l,
1525699127.2537,0.99770000,33.10017000,b,l,
1525678979.9342,0.99700000,34.02145000,b,l,
1525746426.6072,0.99960000,34.06503000,b,m,
1525721954.6261,0.99990000,34.04206000,b,l,
1525654607.4704,0.99400000,30.17987000,s,m,
1525684922.5814,0.99590000,34.02608000,s,l,
1525678967.9164,0.99700000,34.02145000,b,l,
1525725362.9761,0.99930000,34.03732000,b,m,
1525746426.6212,0.99960000,34.06503000,b,m,
1525657786.8455,0.99710000,1000.00000000,b,l,
1525678967.9452,0.99700000,34.02145000,b,l,
1525657787.1027,0.99710000,1000.00000000,b,l,
1525744753.6779,0.99970000,34.06337000,s,l,
1525682418.0185,0.99660000,34.02605000,s,l,
1525682364.192,0.99800000,19.06809107,b,l,
1525745170.6676,0.99890000,75.00000000,s,m,
1525744753.6437,0.99970000,34.06337000,s,l,
1525711986.3816,0.99940000,5407.99516711,s,l,
1525686574.4326,0.99820000,34.03828000,b,l,
1525666437.9218,0.99720000,33.99463000,s,l,
1525746859.1199,0.99890000,34.05478000,s,l,
1525713769.6403,0.99910000,34.03022000,b,l,
1525656631.3157,0.99640000,30.20266000,b,l,
1525744753.7441,0.99920000,34.06140000,s,l,
1525746426.5609,0.99960000,34.06503000,b,m,
1525655750.1982,0.99560000,75.00000000,s,l,
1525658156.9558,0.99620000,30.75517000,s,l,
1525691212.8794,0.99840000,80886.32200149,b,l,
1525657794.1454,0.99710000,0.00000004,b,l,
1525685185.1314,0.99800000,30.09238000,b,l,
1525710099.9024,0.99900000,34.03363000,b,l,
1525664990.0402,0.99750000,33.99621000,b,l,
1525698690.8618,0.99760000,33.04272000,s,l,
1525698690.9424,0.99680000,34.09182000,s,l,
1525655750.2507,0.99530000,30.63535000,s,l,
1525727671.989,0.99990000,34.04260000,b,l,
1525715520.5034,0.99950000,34.03241000,s,l,
1525687047.079,0.99800000,34.04254000,s,l,
1525654689.8973,0.99430000,30.31559000,b,l,
1525725363.1207,0.99990000,34.02725000,b,m,
1525695654.5149,0.99950000,100.00000000,b,m,
1525666438.034,0.99610000,13076.38900000,s,l,
1525695659.4525,0.99930000,34.00836000,s,m,
1525722505.6474,0.99980000,34.02470000,b,l,
1525714920.1284,0.99950000,34.02956000,b,l,
1525669781.0762,0.99670000,34.03175000,s,m,
1525756104.9264,0.99800000,30.07368000,b,l,
1525736756.3759,0.99900000,0.00001808,s,m,
1525728438.0715,0.99950000,446.14300000,s,l,
1525705813.3482,0.99930000,34.03039000,b,l,
1525719896.5497,0.99940000,34.02810000,b,l,
1525688711.5347,0.99710000,125.00000000,s,l,
1525746859.1674,0.99890000,34.05478000,s,l,
1525721442.6231,0.99980000,9077.74124000,b,l,
1525737051.1061,0.99960000,34.05790000,s,m,
1525669726.1966,0.99660000,33.04858000,b,m,
1525705813.2526,0.99930000,34.02791000,b,l,
1525728458.3144,0.99950000,5177.78400000,s,l,
1525744393.8508,0.99990000,34.05790000,b,l,
1525690885.8045,0.99740000,34.06068000,s,m,
1525699127.1429,0.99750000,33.10281000,b,l,
1525738965.0622,0.99860000,75.00000000,s,m,
1525669366.4909,0.99640000,33.04828000,s,m,
1525690365.3354,0.99790000,34.05311000,b,l,
1525654762.2542,0.99470000,30.31436000,b,l,
1525687047.0657,0.99800000,34.04254000,s,l,
1525736863.3098,0.99960000,34.05672000,b,l,
1525679656.8742,0.99670000,0.22317665,s,m,
1525686574.4143,0.99820000,1.18668186,b,l,
1525669366.4966,0.99640000,33.04828000,s,m,
1525685185.1887,0.99810000,34.01318000,b,l,
1525719896.5743,0.99960000,34.02810000,b,l,
1525684010.1024,0.99670000,30.12623000,b,l,
1525705813.3354,0.99930000,34.03016000,b,l,
1525699127.2045,0.99770000,33.10190000,b,l,
1525654797.149,0.99470000,0.00914690,b,l,
1525664983.7118,0.99750000,33.98779000,b,l,
1525658157.0689,0.99360000,1455.86991600,s,l,
1525698839.4605,0.99710000,6000.00000000,s,m,
1525723058.7021,0.99930000,34.03531000,s,m,
1525688665.3361,0.99690000,34.04254000,s,l,
1525744753.7014,0.99970000,34.06337000,s,l,
1525746859.2089,0.99890000,34.05478000,s,l,
1525666475.6089,0.99690000,1000.00000000,b,l,
1525684922.5793,0.99590000,34.02608000,s,l,
1525685568.096,0.99790000,34.08980000,s,l,
1525736756.3778,0.99900000,0.00000004,s,m,
1525698690.9072,0.99740000,34.06068000,s,l,
1525721795.8746,0.99940000,911.86863493,s,m,
1525715520.5114,0.99950000,34.03241000,s,l,
1525728577.298,0.99940000,23.32870000,s,m,
1525710099.9419,0.99900000,34.03363000,b,l,
1525664990.0665,0.99840000,4.04188393,b,l,
1525733361.7921,0.99970000,75.00000000,s,l,
1525746426.4587,0.99950000,9311.00650986,b,m,
1525666437.8917,0.99720000,33.99463000,s,l,
1525669781.1184,0.99620000,33.04853000,s,m,
1525667083.3413,0.99720000,33.99675000,b,m,
1525687322.3282,0.99800000,34.04164000,b,l,
1525688491.5927,0.99820000,34.03733000,b,m,
1525727079.205,0.99940000,34.02693000,s,m,
1525656076.5862,0.99550000,30.64278000,b,l,
1525741721.0865,0.99960000,34.06140000,b,l,
1525654874.6915,0.99520000,16.72404720,b,l,
1525721523.5501,1.00000000,0.19920240,b,l,
1525704034.5787,0.99930000,28.79820000,b,l,
1525699127.1898,0.99750000,33.10281000,b,l,
1525666437.9063,0.99720000,33.99463000,s,l,
1525738385.1976,0.99900000,2.24104685,s,l,
1525695659.457,0.99930000,34.00836000,s,m,
1525698690.912,0.99730000,34.06015000,s,l,
1525679469.3202,0.99790000,33.98686000,s,l,
1525747413.199,0.99740000,75.00000000,s,l,
1525658156.9836,0.99520000,30.67493000,s,l,
1525669366.6097,0.99360000,133.36574517,s,m,
1525687125.5415,0.99800000,34.04295000,b,l,
1525654910.2312,0.99520000,13.89862280,b,l,
1525687046.4748,0.99800000,34.04254000,s,l,
1525721846.9322,0.99980000,34.04206000,b,l,
1525727079.2462,0.99940000,34.02659000,s,m,
1525679035.7213,0.99800000,12807.46641821,b,l,
1525723058.6998,0.99940000,34.04206000,s,m,
1525727079.167,0.99940000,34.02693000,s,m,
1525727079.2786,0.99940000,34.02897000,s,m,
1525685568.154,0.99790000,34.08980000,s,l,
1525654935.0375,0.99520000,0.00019530,b,l,
1525685568.0251,0.99790000,34.08987000,s,l,
1525740777.2464,0.99960000,34.05668000,b,l,
1525669022.5628,0.99640000,0.00104652,s,m,
1525736863.4333,0.99990000,152.33063872,b,l,
1525719403.8504,0.99910000,34.03088000,s,m,
1525688665.3836,0.99690000,34.04254000,s,l,
1525682417.9866,0.99680000,33.99141000,s,l,
1525654954.4218,0.99580000,30.62267000,b,l,
1525654955.1307,0.99590000,30.15045000,b,l,
1525722505.6963,0.99990000,34.02470000,b,l,
1525682418.0026,0.99680000,33.99204000,s,l,
1525654958.2797,0.99590000,534.92900000,b,l,
1525682493.9224,0.99670000,30.12623000,b,l,
1525667135.4726,0.99610000,33.03531000,s,l,
1525744393.8417,0.99990000,34.05790000,b,l,
1525686574.5015,0.99820000,34.03828000,b,l,
1525736756.3325,0.99960000,34.05148000,s,m,
1525727079.2593,0.99940000,34.02897000,s,m,
1525740777.2266,0.99950000,565.70335989,b,l,
1525664983.6519,0.99750000,30.18018000,b,l,
1525678402.6501,0.99700000,18.64463390,s,l,
1525744393.8718,0.99990000,34.05743000,b,l,
1525687758.9343,0.99840000,13076.38900000,b,l,
1525685185.0126,0.99790000,30.11141000,b,l,
1525688425.7953,0.99800000,13.36449868,s,l,
1525727671.9239,0.99990000,34.04260000,b,l,
