Trade_volume,Number of trades with that volume
0.01896499,1
0.2684,1
0.09575857,1
0.01827364,1
0.00497863,1
0.01811365,1
0.00537207,1
0.31151946,1
5.1e-06,1
0.00642749,1
0.0415,5
0.00296085,1
0.95,1
0.00637099,1
0.01950726,1
0.00732801,1
0.00214759,1
0.205,1
0.06452941,1
0.0053,1
1.577e-05,1
0.2176,1
0.0102008,1
0.1268427,1
0.01407032,1
0.00970109,1
0.88,1
0.00625709,1
0.00238343,1
1.7,2
0.36717731,1
0.09391825,1
0.01812476,1
0.2156,1
0.00847116,1
0.08347622,1
0.08,2
0.00919953,1
0.61369333,1
0.010612,1
0.22154053,1
0.0095,1
0.0214188,1
0.04049162,1
0.012,2
0.1161687,1
0.73062129,1
0.0788,1
0.00414666,1
0.01493803,1
0.08557723,1
0.15695088,1
0.02092178,1
0.47824167,1
0.17531084,1
0.48104118,1
0.00862373,1
0.05546002,1
0.07502679,1
0.14359753,1
0.00282727,1
0.01023406,1
0.1487,2
0.06874471,1
0.0282,1
0.99611,1
0.20654669,1
0.01632414,1
0.02316655,1
0.04394907,1
0.00635906,1
0.01007513,1
0.168904,1
0.00064823,1
0.0195229,1
0.19967992,1
0.0541,1
0.024,1
0.00780168,1
0.01122,1
0.01605787,1
5.11e-06,2
0.00590124,1
0.2115,1
0.047,1
0.23842446,1
0.85965489,1
0.25543958,1
0.0574534,1
0.00534736,1
0.98197434,1
0.04055476,1
0.004,3
0.08333304,1
0.00648289,1
0.12494127,1
0.00666893,1
0.04238013,1
0.2101,1
0.00222999,1
0.99700705,1
0.0442,1
0.0578,1
2.036,1
0.17732436,1
0.08557426,1
0.09601207,1
0.21146983,1
0.00857477,1
0.34967705,2
1.46e-06,1
0.01413595,1
0.57,1
0.0355,1
0.05036518,1
0.00203041,1
0.01494412,1
0.107,1
0.01478614,1
0.08917921,1
0.0249,1
0.02000093,1
0.124495,1
0.45003947,1
