Trade_volume,Number of trades with that volume
0.21305445,1
31.5,4
156.0,1
0.4576785,1
157.82066433,1
0.06249656,1
10.39146279,1
1.46925772,2
0.00186377,1
0.4042953,1
1.98992052,1
0.00033234,1
0.19739525,1
0.02155037,1
1.12391735,1
1.8632683,1
0.81428615,2
0.22245229,1
0.94966804,1
1.51796088,1
162.93034901,1
0.48288188,1
0.21510566,1
2.47435897,1
0.17103018,1
7.33189423,2
164.75113087,1
1.96941775,1
5.20680438,1
0.05944172,1
0.34954871,1
0.2478529,1
0.12473,2
0.03483012,1
2.19103631,1
0.00079538,1
166.848345,1
4.3324809,1
0.0306693,5
0.00110608,1
0.91117277,2
89.87417615,1
0.02791714,1
168.79312395,1
0.28577658,1
2.86081433,1
0.10796876,1
0.1464,5
0.17867026,1
0.54815751,1
0.40075062,1
4.71765021,2
0.58473497,1
1.05805805,1
2.9529,3
3.03391044,1
1.74719383,1
0.35836793,1
1.54595747,1
0.00012941,1
13.73271902,1
39.4715,1
173.0,1
1.09965502,1
174.71970447,1
0.02809456,2
175.72879732,1
3.027,6
35.5,1
2.5657317,1
1.79160641,1
177.89301616,1
0.43789584,1
2.28594428,1
178.697,1
0.55788286,3
11.116878,1
179.457,1
0.00230431,1
7.375,2
0.19944919,1
11.75361,1
4.527,3
3.152,6
0.07186213,1
0.09886155,1
1.11634389,1
0.38981,1
182.466,1
0.20784775,1
27.00076839,1
2.41602177,1
0.32672804,1
0.03479711,1
184.45263745,1
0.21764607,1
0.5646357,1
0.16066545,1
0.26841395,1
1.38594154,1
5.527,3
37.5,2
7.1168146,1
0.11660637,1
1.31286929,1
2.5047,1
187.30528312,1
1.29307471,1
1.98954063,1
0.03097957,1
4.637,2
0.51709295,1
0.04078955,1
0.11256686,1
1.31288183,1
8.16367153,1
6.277,4
38.625,1
0.29179431,1
4.32782675,1
0.084069,1
0.20829569,1
2.993004,1
0.9632223,1
19.159,1
0.39648692,1
0.00062103,1
0.36796938,1
0.02143572,1
195.74486957,1
1.06317557,1
0.4786819,1
0.02090303,2
39.5,1
0.07272493,1
0.86646678,1
0.07727731,1
0.01125934,1
2.38258766,1
198.41239836,1
0.142579,2
0.07083562,1
0.02236782,1
199.0,1
0.13470426,1
200.41931458,1
10.73540683,1
0.1817181,1
0.60984414,1
0.37384264,1
0.09124596,1
0.32113515,1
4.23518978,1
0.12641592,1
0.63845224,1
2.6074,1
4.35345514,1
0.00048382,1
2.06,12
0.12620569,1
0.26006268,1
8.25,8
0.14765675,1
1.12802336,1
0.05688757,1
4.902,18
1.6472,1
207.7925295,1
4.57118383,1
0.1678,1
0.20055468,1
0.09410054,2
0.03781884,1
2.99267992,1
0.91357855,1
0.03750294,1
4.037,3
0.8603,2
0.51754438,1
0.04531677,1
3.35975113,1
1.45138709,1
0.72946413,1
44.32104776,1
6.74051539,2
0.10228179,1
0.31780496,1
213.94887866,1
0.5980955,1
0.43781734,1
2.27541425,1
14.047,1
214.548,2
0.09007349,1
0.12161652,1
0.00137135,1
0.01997437,1
0.19437327,1
12.11540808,1
0.2127,3
0.14284056,1
217.36270126,1
0.36285708,1
0.05981343,1
0.89398708,1
0.1259,2
5.5449,1
0.00319291,1
0.12392989,2
2.3351,1
1.72042042,4
2.71537185,1
0.56845641,1
19.658484,1
0.29946163,1
220.5109,1
14.43462214,1
0.06126599,1
0.03302076,1
4.97447219,1
0.04899375,1
0.26569249,1
0.491985,1
4.74345715,1
0.10235659,1
0.11343574,2
2.22042042,1
0.32132132,2
225.22992259,1
0.37877878,2
1.74354989,3
45.5,2
3.90860634,1
1.53473214,1
0.04576032,1
9.59503,1
0.51526977,1
1.26111662,1
0.13685163,1
7.3574,1
228.51,1
1.905,3
0.0881118,1
1.339,4
0.72421516,2
0.09663028,1
0.04137732,1
2.81987577,1
1.8048,1
9.875,4
0.00456706,1
1.68029325,1
5.777,1
0.07943,1
0.71064444,1
0.08613577,1
0.00012492,1
0.91670502,1
233.4881388,1
0.19873452,1
0.00159291,1
6.25268729,1
0.54730406,2
0.15793162,1
0.23603135,1
2.56066666,1
235.05368387,1
1.68178488,1
0.73791793,1
0.06387039,1
0.08620116,1
0.05361696,1
1.00249222,1
0.08942523,1
238.98548323,1
0.00145963,1
0.25120499,1
3.4076359,1
3.0628,2
0.02121717,1
2.88988194,1
1.09409722,2
74.193,1
0.84199007,1
10.34616306,1
0.02858139,1
0.3557978,1
0.12704328,3
0.12314671,1
0.02445315,1
1.07226895,2
23.32940734,1
3.75186,1
9.58355753,1
4.44560906,1
245.928,1
0.13964317,1
0.08787498,1
1.53449544,1
16.5185,1
0.04992642,1
15.32179748,1
0.32439277,1
19.68789452,1
0.58838,2
8.147,1
0.05916542,1
8.274,2
3.1507,1
0.00034968,1
0.21271296,1
0.11347917,1
0.12907305,2
250.74,1
0.6038396,1
0.07856339,1
2.62963149,2
1.6025,1
1.4586091,1
0.87044685,1
0.00043839,2
0.02249981,1
0.95287154,1
0.14453265,1
0.0922894,1
1.62416323,2
0.23460719,1
6.02829325,1
0.1562,1
10.25,4
78.78188499,1
0.9259512,1
0.55059781,2
1.5933,1
2.28661478,1
0.153162,1
257.73451647,1
0.20674277,1
6.96355686,3
0.03909817,1
258.874,1
0.08638133,1
0.0757002,1
0.87634207,1
3.7802927,1
0.10889,2
0.00904971,1
0.72604638,1
0.12210897,1
2.91341388,1
0.05198904,1
1.18048443,1
0.21153,1
1.82311788,2
0.44108,1
1.37243582,1
265.087,1
0.2345439,1
0.20833555,1
0.16401234,1
0.06717464,1
2.3932,2
2.03233233,1
0.26220935,1
0.02378675,1
268.68537555,1
2.12765,2
0.03941175,1
0.16222826,1
2.99661953,1
0.21445841,1
0.0205019,1
0.4363632,1
