Trade_volume,Number of trades with that volume
9.57141,1
256.224,1
1475.06876351,1
34.07432,2
859.49405654,1
915.147,1
29.51277822,1
20.03807232,1
485.59502,1
236.688,1
0.03585643,1
2.26153716,1
5.33293317,1
32.11971,17
7013.3706778,1
828.13842575,2
33.58177,8
30.02732,2
29.89820136,1
370.21,1
12.75678,1
3.93424728,1
1165.0,1
25459.22978671,1
33.58325,2
0.68662675,1
34.09028,2
2937.41945149,1
11130.85671162,1
894.633,1
4245.9247,1
34.05329,7
8000.0,1
305.263,1
2212.77021329,1
74.986642,1
903.28367172,1
363.617,1
30.09903,1
151.1739684,1
908.651,1
911.86863493,1
912.872,1
34.04089,9
34.09493,1
835.8,1
918.11168,1
176.444,1
922.587,1
30.02913,4
925.0,1
421.601,1
34.07599,2
1520.1,1
155.005,1
7076.389,1
48.69387,1
31.13933,2
937.844,1
0.0001731,1
174.671,1
70.34868803,1
157.918,1
34.05672,7
19379.1966427,1
158.042,1
27.50186036,1
955.72219419,2
4.97136908,1
3.66248,1
0.04043808,1
2891.34469442,1
49980.0,1
32.11713,2
15.21622,1
8e-07,1
1.293e-05,1
222.584,1
40.90585,1
982.692,1
983.555,1
0.02058574,1
4.327e-05,1
33.09701,3
299995.0,1
165.861,1
34.0923,1
0.00356799,1
1.01220044,1
33.60092,31
16.12043956,2
33.60304,35
1000.0,43
1002.005,1
174.912,1
34.04214,15
168.833,1
20.56398199,1
33.58116,3
25.74408,1
3061.749166,1
170.885,1
1193.461,1
6.52978,1
170.513,1
4.56707267,1
0.41886,1
0.02074661,1
2.23393,1
3.66969537,1
34.0944,1
34.0924,1
1.14541376,1
0.00017495,1
172.251,1
317.798,1
13.28579,1
34.09213,1
26.68525,1
75267.87677,1
171.343,1
512.408,1
1.39e-06,1
34.07317,3
1050.6338749,1
175.3789455,1
69.9621,1
20.25948104,1
34.04053,14
176.825,1
34.0309,3
34.0745,5
34.04614,3
34.02435,16
33.59135,43
1065.427,1
1066.097,1
1068.90062981,1
178.368,1
34.02036,1
179.86,1
513.033,1
521.58784482,1
534.668,1
5177.784,1
1082.068,1
70.53281148,1
181.391,1
0.03579731,1
0.04367607,1
175.872,1
331.356,1
182.195,1
33.20121404,1
233.824,1
3.866e-05,1
33.58136,9
183.475,1
27.76312,1
184.969,1
378.309,1
9299.84673388,1
1108.713,1
1110.355,1
5207.41950019,1
54.66621785,1
7260.97870943,1
186.89696909,1
11358.55848,1
9311.00650986,1
1120.0,1
8e-08,2
1122.76447106,1
187.764,1
1124.154,1
242.936,1
3.6236,1
31.14174,1
1133.03011447,1
189.049,1
515.556,1
258.466,1
32.12273,31
34.02425,6
1142.151,1
1143.70570961,1
2493.99279135,1
191.179,1
0.00062,1
34.07936,33
0.02970755,1
1154.622,1
2923.97187,1
74.59026766,1
34.0871,2
193.367,1
876.13776364,1
30.07368,11
30.5403137,1
175.215,1
34.08846,2
0.0281008,1
193.717,1
170.455,1
34.07131,13
196.4695569,1
22.24190667,1
15.74517452,1
1182.30968922,2
312.483,1
34.03794,1
33.58448,1
244.209,1
34.09436,2
168.789,1
236.782,1
199.442,1
517.495,1
541.1,1
0.01470424,1
10.86154931,1
33.58568,2
74.90568418,1
1205.394,1
348.022,1
33.59966,2
313.51,1
0.0449821,1
203.436,1
0.00037772,1
4064.20391977,1
3270.31343955,1
337.679,1
177.125,1
34.05522,2
205.109,1
34.07316,1
34.11447,4
189.351,1
150.0250038,1
9201.75157516,1
3290.20055928,1
1244.41517366,2
34.0949,3
34.05119,2
8400.0,1
400.487,1
550.88,1
116.446,1
178.094,1
49.36112,1
9e-08,1
0.01778698,1
179.889,1
362.513,1
383.18236,1
0.00785278,1
31.13935,2
33.60176,2
0.00013228,1
0.5557251,1
213.682,1
0.87311046,1
1281.40671978,1
34.03918,9
0.0003976,1
74.95879248,1
21767.95503256,1
1.646e-05,1
3338.62275449,1
1239.815,1
3.32752036,1
1297.31598129,1
384.243,1
32.60997,3
990485.24836827,1
245.292,1
217.579,1
0.05500305,1
515.953,1
218.015,1
34.07128,2
18.32783772,1
2.4e-07,1
34.06288,1
1317.69031078,1
116.37,1
1.427e-05,1
112.5035,1
33.58347,21
61.42898768,1
44.74979334,1
27.55652858,1
34.07286,9
631.882,1
34.05687,1
223.659,1
2191.8475233,1
34.05499,16
5441.63620681,1
74.99954,1
0.00202927,1
15.84613,1
143.0,1
15.49096454,1
33.57055,2
45.48722178,1
164.8943673,1
1592.70081,1
9556.42064452,1
3417.53061494,1
168.715,1
20.29366,1
0.08932095,1
0.00260597,1
571.146,1
33.60101,2
33.58405,3
1384.509,1
7530.7706,1
0.00114352,1
29.91662,1
34.15325,1
232.743,1
34.09637,3
915.543,1
34.06293,1
11638.56123087,1
233.982,1
1400.0,1
162.769,1
1402.30612445,1
34.08738,1
524.15814689,1
34.04077,4
1600.0,1
305.311,1
235.654,1
34.07931,5
311.28031,1
236.045,1
30.06615,11
369.725,1
578.788,1
237.963,1
1425.0,1
0.06626989,1
33.60069,1
184.70053,1
0.01333563,1
208.123,1
34.09112,3
1441.146,1
1480.57195,1
0.00197873,1
241.887,1
31.26117,4
34.09517,7
1450.0,1
5547.832,1
242.464,1
0.08672457,1
1087.321,1
34.04366,5
1457.70173287,1
313.635,1
253.687,1
1.37724551,1
33.57053,1
1.808e-05,1
185.069,1
6.09638,1
34.07457,9
241.41,1
245.391,1
302.81,1
986562.38111255,1
331.489,1
159.09403,1
187.847,1
32.88746733,1
15.38664335,1
33.60106,1
247.203,1
7.157e-05,1
1272.859,1
34.06503,67
24.0584802,1
186.807,1
34.09029,1
33.11394,14
622.99748907,1
176.387,1
250.496,1
459.331,2
100.0,1
3.072324,1
2.46405877,1
251.294,1
3556.35077092,1
33.08881,5
16.73300117,1
0.08764905,1
171.2,1
35127.20685023,1
13805.82081947,1
1159.251,1
9.9e-06,1
34.08888,1
34.04224,10
240.185,1
25.13374,1
187.348,1
8.62727,1
53161.6787,1
34.05976892,1
31.63219,7
34.08177,9
1531.36583929,2
1532.506,1
34.0618,8
0.00139475,1
0.58814335,1
1.421,1
34.0529,1
343.555,1
33.58379,4
324.101,1
367.688,1
3597.19392554,1
256.195,1
941.26,1
34.07673,31
26.89869,1
30.06675,22
367.416,1
1559.19036025,1
179.707,2
1626.97839784,1
34.02693,16
35.12174366,1
5.93e-05,1
168.373,1
0.00037,1
12551.1826,1
17.96407186,1
0.04768299,1
189.47104,1
10.90688252,1
2.28102321,1
13878.87238724,1
265.173,1
1592.44526716,1
1593.462,1
348.925,1
12895.7705178,1
1596.80638723,1
34.09463,3
15935.252,1
0.18924228,1
33.57054,4
134723.6963,1
326.632,1
15.96082,1
268.16899012,1
258.026,1
0.0006069,1
11.84746333,1
34.0734,1
270.882,1
34.07108,25
1626.33673174,1
271.917,1
1628.14,1
159.09415,1
34.07341,5
327.594,1
0.02149748,1
34.07685,8
358.87292,1
6.00720865,4
226.191,1
1647.3647,1
34.08107,2
30.07127,16
0.00075,1
34.06263,4
31.62672,1
1658.84,1
4.09612139,1
1.04622384,1
34.09377,7
305.141,1
33.58403,3
34.06641,1
27.90516,1
30.02943,4
192.117,1
6398.566,1
242.839,1
16.909,1
34.07522,1
1.2e-07,1
14823.41864186,1
0.00906141,1
3694.53567306,1
59.884,1
34.06697,8
329.524,1
34.05613,1
0.03194963,1
1698.605,1
33.58439,2
0.00117394,1
34.0247,17
223.27,1
31.1401,2
34.0494,3
48810.15401121,1
626.6526,1
486.401,1
33.59382,1
34.06649,2
40.90597,1
23.9773,1
33.58354,2
34.09067,1
2.336e-05,1
34.04686,15
189.427,1
7.3743227,1
33.61190595,1
194.003,1
33.12803,2
631.214,1
0.0008,1
808.03,1
34.02723,2
291.483,1
633.756,1
331.579,1
18.99019114,1
30.75927964,1
634.009,1
1317.98,1
34.0665,1
2000.0,1
2.85995481,1
360.76797679,1
16.807824,1
33.58607,11
4.89e-05,1
396.472,1
93.216,1
184.337,1
34.04795,32
59.52677,1
400.647,1
2374.35484,1
175.543,1
8.97674,1
241.142,1
31.48118994,1
5.80742,1
298.304,1
34.08956,4
0.49994999,1
0.00031808,1
34.08711,2
311.97696,1
14089.7596778,4
0.00447314,1
1803.976,1
13.39079824,1
1325.825,1
10000.0,4
43.91217565,1
8.6e-07,1
34.05721,1
8.571e-05,1
34.09424,1
10010.96575928,1
34.04041,8
1.3e-07,1
34.11478,4
3.39946072,1
68387.43852608,1
34.09062,1
0.30405317,1
305.468,1
0.50426,1
324.62,1
95.817,1
33.58163,1
44.60450816,2
350000.0,1
34.09403,1
4745.3591,1
34.04309,3
1850.0,1
33.07513936,1
34.06991,1
4.83556683,1
34.04157,5
22496.87759824,1
175.473,1
310.235,1
1864.011,1
34.08565,34
1867.152,1
34.08725,1
34.08264,9
312.07,1
8019.38889222,1
32.60908,3
66.95619094,1
0.3921548,1
313.14,1
27.3,1
5618.616,1
34.02897,21
94.58147332,1
199.865,1
34.06337,46
0.0623512,1
240.704,1
396.63,1
74.442,1
0.9975,1
1896.16718359,1
33.58402,19
1900.0,1
8383.23358543,1
177.652,1
317.67,1
6000.0,10
486.43,1
1.0410935,1
318.59,1
268.46,1
34.06906,22
660.563,1
33.59186,4
3.13754,1
74.9987084,1
34.08463,3
320.512,1
33.0793,1
3.94193,1
317.128,1
180.176,1
30.11081,4
34.09057,13
322.729,1
337.815,1
1935.72059151,1
33.5832,1
664.184,1
324.56818409,1
22.77735781,1
34.08704,1
474.599,1
7152.74697952,1
30.06946,68
326.747,1
34.05668,10
31.63078,10
1.4e-07,1
34.06246,5
30.67204927,1
1010.919,1
34.09058,13
328.275,1
232.161,1
1971.05788423,1
1.11116047,1
189.455,1
329.684,1
221.885,1
475.248,1
1013.3706778,2
302.916,1
331.875,1
1988.01,1
1991.69968978,1
2453.39151093,1
33.58818,19
9000.0,2
11.42290911,1
0.01170282,1
34.0272088,1
3.6667,1
334.24029546,2
33.58332,4
676.036,1
2010.0,1
335.969,1
5.22404,1
34.0579,24
34.13321,4
0.00483367,1
33.08861,6
337.069,1
33.57945,1
11.97704591,1
8.71e-05,1
33.57943,1
34.04946,6
8.47082,1
1.269e-05,1
4088.70140758,1
6137.576,1
4092.79013211,1
107.679,1
