time,price,volume,buy_or_sell,market_or_limit,misc
1527022245.6852,8154.60000,0.03612999,b,l,
1526991823.9011,8190.00000,0.15048360,s,l,
1527022247.2038,8154.50000,0.18590000,s,l,
1527022248.8748,8154.00000,0.15707440,b,l,
1526923947.903,8404.20000,1.00000000,s,l,
1526989484.9536,8240.10000,0.20000000,b,m,
1526923949.9625,8400.00000,1.00000000,b,l,
1526989486.345,8235.80000,0.04900000,s,l,
1526950685.7496,8351.40000,0.52259474,s,l,
1527022258.0435,8151.50000,0.00300000,b,m,
1526989493.401,8235.00000,0.25000000,b,l,
1526989497.4136,8234.90000,1.00000000,b,l,
1527022269.9379,8150.10000,0.06960000,b,l,
1527022270.35,8150.00000,0.50000000,s,l,
1526988917.7524,8207.10000,0.05000000,s,m,
1527022273.7071,8149.80000,0.00150000,b,l,
1527010995.9394,8222.00000,0.07367000,s,l,
1526956748.9525,8306.60000,1.00000000,b,m,
1526987626.0918,8240.20000,0.42000000,s,m,
1526988920.6975,8205.00000,0.01000000,s,m,
1526972260.6142,8320.80000,0.01046229,s,l,
1527022301.4983,8143.60000,0.00200000,s,l,
1527018012.4471,8150.00000,0.20000000,b,m,
1526989535.6818,8235.00000,0.60100000,b,l,
1527022305.1802,8141.30000,0.00246445,s,l,
1527017445.1884,8170.00000,0.67648563,s,l,
1527022311.1535,8142.70000,0.06160067,b,l,
1526955185.6747,8283.60000,0.19000000,s,l,
1527030975.8869,8019.30000,0.02616556,b,m,
1527008538.268,8209.10000,2.43300000,s,l,
1526956783.9823,8298.90000,1.00000000,s,l,
1526956785.1132,8298.60000,0.01760000,s,l,
1527028924.8342,8010.60000,0.46109267,s,l,
1526935087.6563,8410.00000,0.02000000,b,l,
1526989563.7801,8242.50000,0.02000000,b,m,
1526995503.4434,8214.00000,0.16370762,s,l,
1527016235.8634,8213.00000,0.08812900,b,l,
1527024820.0695,8099.70000,0.63400000,b,l,
1527022345.995,8152.60000,0.01300000,b,m,
1526989579.9395,8245.30000,0.04442127,b,m,
1526977642.379,8311.10000,0.89700000,s,m,
1526985280.4806,8262.20000,0.06640000,s,l,
1527022362.0905,8152.60000,0.00315287,b,l,
1527022366.6418,8154.50000,0.00995897,s,m,
1526989599.8318,8238.30000,0.10320000,s,l,
1527020937.1305,8176.70000,0.00500000,b,l,
1527022369.5496,8154.50000,1.00000000,s,l,
1526954031.4956,8270.10000,0.00274910,s,l,
1527028926.0321,8010.00000,0.09800000,s,m,
1527022386.025,8154.50000,0.13000000,s,m,
1526989620.1023,8239.90000,0.00200000,s,l,
1526935089.4857,8408.70000,1.00000000,s,m,
1527018015.0349,8150.00000,0.20491818,b,l,
1526924091.7577,8399.90000,0.07770000,s,l,
1526988791.0453,8205.00000,1.19000089,s,m,
